index,project_name,address,floor_area_sqm,type_of_land,contract_date,property_type,tenure,completion_date,type_of_sale,postal_district,postal_sector,postal_code,region,area,month,latitude,longitude,floor_num,unit_num,price
6250,SKYLINE 360 @ SAINT THOMAS WALK,68 St. Thomas Walk  #04-01 ,198,Strata,23-OCT-2017,Condominium,Freehold,2012,Resale,9,23,238142,Central Region,River Valley,2017-10,1.2967292091,103.836870927,4.0,1.0,3651879
6251,MERALODGE,83 Hillview Avenue  #05-03 ,178,Strata,23-OCT-2017,Condominium,Freehold,1997,Resale,23,66,669583,West Region,Bukit Batok,2017-10,1.3541847519799999,103.761451957,5.0,3.0,1623855
6252,N.A.,17 Pebble Lane ,189,Land,23-OCT-2017,Terrace House,Freehold,1971,Resale,15,43,437566,Central Region,Geylang,2017-10,1.31350182096,103.893130509,,,2315219
6253,FONTAINE PARRY,77 Poh Huat Road  #04-20 ,115,Strata,23-OCT-2017,Condominium,999 Yrs From 16/08/1877,2010,Resale,19,54,546785,North East Region,Hougang,2017-10,1.36625188557,103.87997817200001,4.0,20.0,1262710
6254,THE GALE,72 Flora Road  #05-27 ,126,Strata,23-OCT-2017,Condominium,Freehold,2013,Resale,17,50,506915,East Region,Pasir Ris,2017-10,1.35859066241,103.967225217,5.0,27.0,1304611
6255,SIGNATURE PARK,46A Toh Tuck Road  #06-02 ,96,Strata,23-OCT-2017,Condominium,Freehold,1998,Resale,21,59,596738,Central Region,Bukit Timah,2017-10,1.34043292582,103.767270739,6.0,2.0,1044975
6256,THE CENTRIS,77 Jurong West Central 3  #06-30 ,117,Strata,23-OCT-2017,Apartment,99 Yrs From 21/06/2006,2009,Resale,22,64,648338,West Region,Jurong West,2017-10,1.33958068068,103.704464146,6.0,30.0,1338296
6257,THE TRIZON,2 Ridgewood Close  #18-03 ,192,Strata,23-OCT-2017,Condominium,Freehold,2012,Resale,10,27,276693,Central Region,Bukit Timah,2017-10,1.31661909718,103.778448809,18.0,3.0,3374364
6258,THE TESSARINA,22 Wilby Road  #04-14 ,124,Strata,23-OCT-2017,Condominium,Freehold,2003,Resale,10,27,276306,Central Region,Bukit Timah,2017-10,1.33292905395,103.789765571,4.0,14.0,1842979
6259,SUNGLADE,9 Serangoon Avenue 2  #07-26 ,115,Strata,23-OCT-2017,Condominium,99 Yrs From 09/10/2000,2003,Resale,19,55,556134,North East Region,Serangoon,2017-10,1.34879516554,103.87065111,7.0,26.0,1234744
6260,SEA ESTA,28 Pasir Ris Link  #01-23 ,130,Strata,23-OCT-2017,Condominium,99 Yrs From 09/01/2012,2015,Resale,18,51,518146,East Region,Pasir Ris,2017-10,1.3778772699500001,103.959616886,1.0,23.0,1298504
6261,DAHLIA PARK CONDOMINIUM,3 Flora Drive  #08-09 ,144,Strata,23-OCT-2017,Condominium,Freehold,2003,Resale,17,50,507010,East Region,Pasir Ris,2017-10,1.35919314293,103.96611734700001,8.0,9.0,1033867
6262,SERANGOON GARDEN ESTATE,68A Carisbrooke Grove ,1336,Land,23-OCT-2017,Detached House,999 Yrs From 14/02/1991,1994,Resale,19,55,558845,North East Region,Serangoon,2017-10,1.35739413306,103.866629443,,,10172651
6263,BEDOK RESIDENCES,18 Bedok North Drive  #15-08 ,100,Strata,23-OCT-2017,Apartment,99 Yrs From 21/11/2011,2015,Resale,16,46,465495,East Region,Bedok,2017-10,1.32508887547,103.92901790100001,15.0,8.0,1471104
6264,KOVAN RESIDENCES,5 Kovan Road  #16-18 ,134,Strata,23-OCT-2017,Condominium,99 Yrs From 31/12/2007,2011,Resale,19,54,544894,North East Region,Hougang,2017-10,1.36120119685,103.88467173,16.0,18.0,1601811
6265,HORIZON TOWERS,29 Leonie Hill  #08-02 ,240,Strata,23-OCT-2017,Condominium,99 Yrs From 17/08/1979,1984,Resale,9,23,239228,Central Region,River Valley,2017-10,1.29762358672,103.83269165600001,8.0,2.0,2517896
6266,SENNETT ESTATE,61 Lichi Avenue ,158,Land,23-OCT-2017,Terrace House,Freehold,Unknown,Resale,13,34,348836,Central Region,Toa Payoh,2017-10,1.33378007111,103.877832474,,,2396485
6267,REFLECTIONS AT KEPPEL BAY,27 Keppel Bay View  #18-83 ,167,Strata,23-OCT-2017,Condominium,99 Yrs From 15/03/2006,2011,Resale,4,9,98416,Central Region,Bukit Merah,2017-10,1.26653651983,103.810492751,18.0,83.0,3139164
6268,THOMSON GRAND,17 Sin Ming Walk  #19-07 ,132,Strata,23-OCT-2017,Condominium,99 Yrs From 08/02/2010,2015,Resale,20,57,573913,Central Region,Bishan,2017-10,1.364939069,103.83003816700001,19.0,7.0,1707378
6269,PARKVIEW APARTMENTS,1 Bukit Batok Street 25  #06-01 ,104,Strata,23-OCT-2017,Apartment,99 Yrs From 01/05/1994,1998,Resale,23,65,658882,West Region,Bukit Batok,2017-10,1.3410812942299999,103.760405155,6.0,1.0,771503
6270,BINJAI CREST,217 Jalan Kampong Chantek ,351,Strata,23-OCT-2017,Terrace House,99 Yrs From 13/12/1996,2004,Resale,21,58,587916,Central Region,Bukit Timah,2017-10,1.34421367498,103.788279233,,,1898604
6271,THE TOPIARY,13 Fernvale Lane  #19-08 ,117,Strata,23-OCT-2017,Executive Condominium,99 Yrs From 03/07/2012,2016,Resale,28,79,797496,North East Region,Sengkang,2017-10,1.3888159854,103.87238858,19.0,8.0,1100919
6272,H2O RESIDENCES,30 Fernvale Link  #01-01 ,152,Strata,23-OCT-2017,Condominium,99 Yrs From 10/05/2010,2015,Resale,28,79,797530,North East Region,Sengkang,2017-10,1.39253007201,103.879876063,1.0,1.0,1305497
6273,AVILA GARDENS,17 Flora Road  #02-04 ,119,Strata,23-OCT-2017,Condominium,Freehold,1995,Resale,17,50,509735,East Region,Pasir Ris,2017-10,1.36062139801,103.966184162,2.0,4.0,996826
6274,SCOTTS SQUARE,8 Scotts Road  #27-01 ,116,Strata,23-OCT-2017,Apartment,Freehold,2011,Resale,9,22,228238,Central Region,Orchard,2017-10,1.30577202207,103.83306330200001,27.0,1.0,3791084
6275,THE RICHMOND,7 St. Michael'S Road  #07-01 ,120,Strata,23-OCT-2017,Apartment,Freehold,1999,Resale,12,32,327950,Central Region,Kallang,2017-10,1.32485654722,103.86448355,7.0,1.0,1125093
6276,CITY LOFT,363 Race Course Road  #04-02 ,34,Strata,23-OCT-2017,Apartment,Freehold,2012,Resale,8,21,218636,Central Region,Kallang,2017-10,1.31506063328,103.856681023,4.0,2.0,578980
6277,THE INTERLACE,210 Depot Road  #12-60 ,410,Strata,23-OCT-2017,Condominium,99 Yrs From 11/02/2009,2013,Resale,4,10,109699,Central Region,Bukit Merah,2017-10,1.28272832309,103.804255689,12.0,60.0,2887781
6278,N.A.,23 Clover Way ,161,Land,23-OCT-2017,Terrace House,Freehold,Unknown,Resale,20,57,579092,Central Region,Bishan,2017-10,1.34968191403,103.84374599799999,,,2465042
6279,THE CREST,105 Prince Charles Crescent  #20-16 ,143,Strata,23-OCT-2017,Condominium,99 Yrs From 21/12/2012,2017,Resale,3,15,159019,Central Region,Bukit Merah,2017-10,1.2928192090200001,103.81929313799999,20.0,16.0,2624221
6280,N.A.,281 Onan Road ,165,Land,23-OCT-2017,Terrace House,Freehold,1955,Resale,15,42,424661,Central Region,Marine Parade,2017-10,1.30928333561,103.901915714,,,2287790
6281,PARC SOPHIA,8 Adis Road  #06-07 ,62,Strata,23-OCT-2017,Apartment,Freehold,2011,Resale,9,22,229975,Central Region,Rochor,2017-10,1.3015617396799999,103.847372425,6.0,7.0,1138525
6282,THE BELLEFORTE,6 Ah Hood Road  #09-02 ,95,Strata,23-OCT-2017,Apartment,Freehold,2003,Resale,12,32,329974,Central Region,Novena,2017-10,1.3272424524,103.84513345100001,9.0,2.0,1157433
6283,THE SHORE RESIDENCES,87 Amber Road  #04-21 ,55,Strata,23-OCT-2017,Condominium,103 Yrs From 18/08/2009,2014,Resale,15,43,439897,Central Region,Marine Parade,2017-10,1.30336197069,103.901971644,4.0,21.0,824410
6284,HILLCREST ARCADIA,255 Arcadia Road  #06-25 ,183,Strata,23-OCT-2017,Condominium,99 Yrs From 01/12/1975,1980,Resale,11,28,289850,Central Region,Bukit Timah,2017-10,1.33377938529,103.808806562,6.0,25.0,1814308
6285,ARDMORE II,2 Ardmore Park  #20-04 ,188,Strata,23-OCT-2017,Condominium,Freehold,2010,Resale,10,25,259947,Central Region,Newton,2017-10,1.3092027336499998,103.82826695899999,20.0,4.0,5083172
6286,WATERMARK ROBERTSON QUAY,1 Rodyk Street  #07-08 ,82,Strata,23-OCT-2017,Apartment,Freehold,2008,Resale,9,23,238212,Central Region,Singapore River,2017-10,1.29093248485,103.838315316,7.0,8.0,1446911
6287,6 DERBYSHIRE,6 Derbyshire Road  #07-06 ,44,Strata,23-OCT-2017,Condominium,Freehold,2017,Resale,11,30,309462,Central Region,Novena,2017-10,1.31578788311,103.84604087,7.0,6.0,1074616
6288,MARINE BLUE,91 Marine Parade Road  #06-08 ,68,Strata,23-OCT-2017,Condominium,Freehold,2016,Resale,15,44,449314,Central Region,Marine Parade,2017-10,1.30405559896,103.904877122,6.0,8.0,1255132
6289,PLATINUM EDGE,18 Leicester Road  #16-01 ,98,Strata,23-OCT-2017,Apartment,Freehold,2007,Resale,13,35,358847,Central Region,Toa Payoh,2017-10,1.3304798495899999,103.866861607,16.0,1.0,1194403
6290,SKY VUE,1 Bishan Street 15  #11-09 ,63,Strata,23-OCT-2017,Condominium,99 Yrs From 04/03/2013,2016,Resale,20,57,573910,Central Region,Bishan,2017-10,1.3523162271200002,103.85072190000001,11.0,9.0,975079
6291,THE COAST AT SENTOSA COVE,280 Ocean Drive  #02-04 ,219,Strata,23-OCT-2017,Condominium,99 Yrs From 11/04/2006,2009,Resale,4,9,98451,Central Region,Southern Islands,2017-10,1.24535101612,103.84361419700001,2.0,4.0,3482950
6292,BRADDELL HEIGHTS ESTATE,12 Muswell Hill ,421,Land,23-OCT-2017,Detached House,Freehold,2009,Resale,13,35,358429,North East Region,Serangoon,2017-10,1.3447077599000001,103.86132787700001,,,4297180
6293,THE MAKENA,123 Meyer Road  #12-02 ,152,Strata,23-OCT-2017,Condominium,Freehold,1998,Resale,15,43,437934,Central Region,Marine Parade,2017-10,1.29706958211,103.895140702,12.0,2.0,2018397
6294,EDELWEISS PARK CONDOMINIUM,102 Flora Road  #06-67 ,151,Strata,23-OCT-2017,Condominium,Freehold,2006,Resale,17,50,509744,East Region,Pasir Ris,2017-10,1.3565160549000002,103.96734639,6.0,67.0,1217601
6295,N.A.,22 East Sussex Lane ,1072,Land,23-OCT-2017,Detached House,Freehold,1970,Resale,10,27,279808,Central Region,Bukit Timah,2017-10,1.31211196907,103.79077487,,,13387992
6296,EVERGREEN PARK,31 Hougang Avenue 7  #14-08 ,100,Strata,23-OCT-2017,Apartment,99 Yrs From 01/10/1995,1999,Resale,19,53,538800,North East Region,Hougang,2017-10,1.3685311824899997,103.899103629,14.0,8.0,838501
6297,THOMSON RISE ESTATE,96 Jalan Pemimpin ,292,Land,23-OCT-2017,Terrace House,Freehold,1989,Resale,20,57,577247,Central Region,Bishan,2017-10,1.35422018211,103.84378317,,,3371622
6298,THE TESSARINA,22 Wilby Road  #03-18 ,123,Strata,23-OCT-2017,Condominium,Freehold,2003,Resale,10,27,276306,Central Region,Bukit Timah,2017-10,1.33292905395,103.789765571,3.0,18.0,1926185
6299,N.A.,61 Wilkinson Road ,2386,Land,23-OCT-2017,Detached House,Freehold,Unknown,Resale,15,43,436718,Central Region,Marine Parade,2017-10,1.30223777952,103.891568847,,,36975720
6300,RAFFLESIA CONDOMINIUM,33 Bishan Street 21  #07-07 ,85,Strata,23-OCT-2017,Condominium,99 Yrs From 18/07/1997,2003,Resale,20,57,579801,Central Region,Bishan,2017-10,1.34802005432,103.84331114,7.0,7.0,982631
6301,THE ESTA,31 Amber Gardens  #19-04 ,122,Strata,23-OCT-2017,Condominium,Freehold,2008,Resale,15,43,439967,Central Region,Marine Parade,2017-10,1.30222380071,103.89998441799999,19.0,4.0,1939134
6302,CHARLTON 18,67 Charlton Lane ,315,Strata,23-OCT-2017,Terrace House,Freehold,2016,Resale,19,53,533993,North East Region,Hougang,2017-10,1.3569864470700002,103.88247135700001,,,2540739
6303,EIGHT COURTYARDS,8 Canberra Drive  #10-12 ,80,Strata,23-OCT-2017,Condominium,99 Yrs From 20/09/2010,2014,Resale,27,76,768141,North Region,Yishun,2017-10,1.43857097714,103.83136663799999,10.0,12.0,828713
6304,COUNTRY PARK CONDOMINIUM,37 Bedok Road  #05-01 ,164,Strata,23-OCT-2017,Condominium,Freehold,2003,Resale,16,46,469360,East Region,Bedok,2017-10,1.32118014189,103.95478836299999,5.0,1.0,1733494
6305,N.A.,23 Jalan Chengkek ,256,Land,23-OCT-2017,Terrace House,Freehold,1976,Resale,13,36,369242,Central Region,Geylang,2017-10,1.3313384377600002,103.88483041299999,,,2710435
6306,SPOTTISWOODE PARK,107 Spottiswoode Park Road  #16-122 ,118,Strata,22-OCT-2017,Apartment,99 Yrs From 01/08/1976,Unknown,Resale,2,8,80107,Central Region,Bukit Merah,2017-10,1.27359376971,103.83491818,16.0,122.0,925892
6307,ROBERTSON 100,100 Robertson Quay  #09-05 ,87,Strata,21-OCT-2017,Apartment,Freehold,2004,Resale,9,23,238250,Central Region,Singapore River,2017-10,1.29111209264,103.83782134299999,9.0,5.0,1564787
6308,THE SEAWIND,78 Lorong M Telok Kurau  #04-30 ,106,Strata,20-OCT-2017,Condominium,Freehold,2015,Resale,15,42,425413,East Region,Bedok,2017-10,1.31080132273,103.914040101,4.0,30.0,1489911
6309,ONE OXLEY RISE,1 Oxley Rise  #06-04 ,67,Strata,20-OCT-2017,Apartment,Freehold,2009,Resale,9,23,238714,Central Region,Museum,2017-10,1.29925155609,103.841714051,6.0,4.0,1272461
6310,PARC VISTA,458 Corporation Road  #08-04 ,99,Strata,20-OCT-2017,Condominium,99 Yrs From 01/03/1995,1997,Resale,22,64,649814,West Region,Jurong West,2017-10,1.34424334489,103.71753643299999,8.0,4.0,964238
6311,NATHAN RESIDENCES,25 Nathan Road  #09-07 ,72,Strata,20-OCT-2017,Apartment,Freehold,2013,Resale,10,24,248745,Central Region,Tanglin,2017-10,1.29456958469,103.827270809,9.0,7.0,1296422
6312,THE SEAWIND,70 Lorong M Telok Kurau  #04-01 ,59,Strata,20-OCT-2017,Condominium,Freehold,2015,Resale,15,42,425380,East Region,Bedok,2017-10,1.31102638099,103.914399465,4.0,1.0,944323
6313,ROCHELLE AT NEWTON,188 Keng Lee Road  #19-03 ,126,Strata,20-OCT-2017,Condominium,99 Yrs From 10/03/2008,2012,Resale,11,30,308414,Central Region,Novena,2017-10,1.31404425855,103.841922914,19.0,3.0,1980396
6314,MONTEREY PARK CONDOMINIUM,31 West Coast Rise  #08-20 ,121,Strata,20-OCT-2017,Condominium,999 Yrs From 21/02/1885,2005,Resale,5,12,127474,West Region,Clementi,2017-10,1.31722932347,103.753432134,8.0,20.0,1453754
6315,PARKVIEW APARTMENTS,1 Bukit Batok Street 25  #07-06 ,105,Strata,20-OCT-2017,Apartment,99 Yrs From 01/05/1994,1998,Resale,23,65,658882,West Region,Bukit Batok,2017-10,1.3410812942299999,103.760405155,7.0,6.0,770729
6316,ORCHID PARK CONDOMINIUM,97 Yishun Street 81  #06-02 ,89,Strata,20-OCT-2017,Condominium,99 Yrs From 01/09/1991,1994,Resale,27,76,768453,North Region,Yishun,2017-10,1.41317398961,103.834911494,6.0,2.0,710321
6317,THE BAYSHORE,30 Bayshore Road  #18-07 ,110,Strata,20-OCT-2017,Condominium,99 Yrs From 31/05/1993,1997,Resale,16,46,469974,East Region,Bedok,2017-10,1.31299246295,103.93991443,18.0,7.0,1086349
6318,PAVILION PARK,38 Pavilion Green ,221,Land,20-OCT-2017,Terrace House,Freehold,2014,Resale,23,65,658323,West Region,Bukit Batok,2017-10,1.36863419966,103.752663806,,,3002231
6319,HUA MEI GARDENS,22 Phoenix Rise ,367,Land,20-OCT-2017,Semi-Detached House,Freehold,1985,Resale,23,66,668224,West Region,Bukit Batok,2017-10,1.37427198314,103.757282779,,,3589143
6320,THE COSMOPOLITAN,202 Kim Seng Road  #30-08 ,156,Strata,20-OCT-2017,Condominium,Freehold,2008,Resale,9,23,239496,Central Region,Singapore River,2017-10,1.29565132062,103.83223685,30.0,8.0,3299048
6321,PAVILION PARK,44 Pavilion Green ,150,Land,20-OCT-2017,Terrace House,Freehold,2014,Resale,23,65,658329,West Region,Bukit Batok,2017-10,1.36864375276,103.752828889,,,2560672
6322,SENNETT ESTATE,117 Macpherson Road ,139,Land,20-OCT-2017,Terrace House,Freehold,1963,Resale,13,34,348506,Central Region,Toa Payoh,2017-10,1.32932061781,103.87232665799999,,,1504561
6323,WEST BAY CONDOMINIUM,52 West Coast Crescent  #06-04 ,114,Strata,20-OCT-2017,Condominium,99 Yrs From 01/03/1991,1994,Resale,5,12,128036,West Region,Clementi,2017-10,1.29873864411,103.766368614,6.0,4.0,1094290
6324,SPRINGDALE CONDOMINIUM,47 Hindhede Walk  #07-11 ,103,Strata,20-OCT-2017,Condominium,999 Yrs From 21/06/1877,1998,Resale,21,58,587977,West Region,Bukit Panjang,2017-10,1.3476676577899998,103.77180095799999,7.0,11.0,1114519
6325,QUINTERRA,359 Holland Road  #15-03 ,166,Strata,20-OCT-2017,Apartment,99 Yrs From 08/03/2006,2009,Resale,10,27,278636,Central Region,Bukit Timah,2017-10,1.31860256258,103.780745525,15.0,3.0,2065833
6326,N.A.,12 Stratton Place ,188,Land,20-OCT-2017,Terrace House,Freehold,1992,Resale,28,80,806825,North East Region,Serangoon,2017-10,1.38033186607,103.867150384,,,1904906
6327,THE GREENWICH,7 Seletar Road  #04-22 ,56,Strata,20-OCT-2017,Condominium,99 Yrs From 21/12/2009,2014,Resale,28,80,807014,North East Region,Serangoon,2017-10,1.3871592859900002,103.869832921,4.0,22.0,619914
6328,HOLLAND RESIDENCES,5 Taman Warna  #04-11 ,90,Strata,20-OCT-2017,Condominium,Freehold,2012,Resale,10,27,276342,Central Region,Bukit Timah,2017-10,1.3107516127,103.79945922200001,4.0,11.0,1675898
6329,GRAMERCY PARK,57 Grange Road  #17-09 ,247,Strata,20-OCT-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-10,1.2983710257899999,103.82642846,17.0,9.0,6918036
6330,N.A.,37 Tham Soong Avenue ,298,Land,20-OCT-2017,Semi-Detached House,Freehold,1960,Resale,21,59,597051,Central Region,Bukit Timah,2017-10,1.3438569263100002,103.77381328,,,3358479
6331,NORTHWOOD,60 Jalan Mata Ayer  #04-06 ,124,Strata,20-OCT-2017,Condominium,Freehold,2009,Resale,27,75,759158,North Region,Mandai,2017-10,1.4264510644,103.824060018,4.0,6.0,1123765
6332,HILLBROOKS,88 Hillview Avenue  #01-12 ,137,Strata,20-OCT-2017,Condominium,Freehold,1999,Resale,23,66,669590,West Region,Bukit Batok,2017-10,1.35885969644,103.762767645,1.0,12.0,1309241
6333,THE HILLIER,6 Hillview Rise  #11-29 ,58,Strata,20-OCT-2017,Apartment,99 Yrs From 01/08/2011,2016,Resale,23,66,667980,West Region,Bukit Batok,2017-10,1.3630337048299999,103.764136915,11.0,29.0,883808
6334,OPERA ESTATE,28 Maria Avenue ,201,Land,20-OCT-2017,Terrace House,Freehold,Unknown,Resale,15,45,456759,East Region,Bedok,2017-10,1.32091668991,103.92174224600001,,,2357874
6335,N.A.,653 East Coast Road ,375,Land,20-OCT-2017,Semi-Detached House,Freehold,2010,Resale,15,45,459039,East Region,Bedok,2017-10,1.31142216829,103.91972728399999,,,4811661
6336,GOLDENHILL PARK CONDOMINIUM,62 Mei Hwan Drive  #13-08 ,124,Strata,20-OCT-2017,Condominium,Freehold,2004,Resale,20,56,568427,North East Region,Serangoon,2017-10,1.35274983565,103.863024925,13.0,8.0,1680148
6337,NV RESIDENCES,89 Pasir Ris Grove  #04-24 ,71,Strata,20-OCT-2017,Condominium,99 Yrs From 07/01/2008,2013,Resale,18,51,518214,East Region,Pasir Ris,2017-10,1.3717551557799998,103.94342295,4.0,24.0,690876
6338,ENG AUN MANSION,312A Thomson Road ,93,Strata,20-OCT-2017,Apartment,Freehold,Unknown,Resale,11,30,307658,Central Region,Novena,2017-10,1.32343518403,103.842064589,,,1147119
6339,AMARANDA GARDENS,120 Serangoon Avenue 3  #11-07 ,108,Strata,20-OCT-2017,Condominium,Freehold,2004,Resale,19,55,554774,North East Region,Serangoon,2017-10,1.3494052854799998,103.866718121,11.0,7.0,1544809
6340,NINETEEN SHELFORD ROAD,19 Shelford Road  #02-29 ,85,Strata,20-OCT-2017,Condominium,Freehold,1997,Resale,11,28,288408,Central Region,Bukit Timah,2017-10,1.32605907113,103.811860141,2.0,29.0,1275226
6341,BISHAN PARK CONDOMINIUM,24 Sin Ming Walk  #01-01 ,137,Strata,20-OCT-2017,Condominium,99 Yrs From 01/03/1991,1994,Resale,20,57,575572,Central Region,Bishan,2017-10,1.36636704054,103.83095038200001,1.0,1.0,1197584
6342,ST MICHAEL'S CONDOMINIUM,19A St. Michael'S Road  #08-04 ,89,Strata,20-OCT-2017,Apartment,Freehold,2002,Resale,12,32,328003,Central Region,Kallang,2017-10,1.32605933649,103.86242516899999,8.0,4.0,936297
6343,CLEMENTI PARK,129 Sunset Way  #02-01 ,108,Strata,20-OCT-2017,Condominium,Freehold,1983,Resale,21,59,597157,West Region,Clementi,2017-10,1.3285363385100002,103.765098037,2.0,1.0,1110734
6344,MONTROSA,132B Hillview Avenue  #03-04 ,88,Strata,20-OCT-2017,Condominium,999 Yrs From 12/10/1885,1999,Resale,23,66,669605,West Region,Bukit Batok,2017-10,1.3568025921899998,103.75958295,3.0,4.0,834420
6345,PEIRCE VIEW,557 Upper Thomson Road  #04-16 ,143,Strata,20-OCT-2017,Condominium,Freehold,1996,Resale,20,57,574418,North East Region,Ang Mo Kio,2017-10,1.37144152359,103.82814059100001,4.0,16.0,1348764
6346,RIVERSOUND RESIDENCE,9A Sengkang East Avenue  #01-36 ,156,Strata,20-OCT-2017,Condominium,99 Yrs From 26/08/2011,2015,Resale,19,54,544743,North East Region,Sengkang,2017-10,1.3806889897699999,103.90298661,1.0,36.0,1311126
6347,FRANKEL ESTATE,7 Burnfoot Terrace ,315,Land,20-OCT-2017,Semi-Detached House,Freehold,1998,Resale,15,45,459799,East Region,Bedok,2017-10,1.31250655264,103.92158517799999,,,4259212
6348,EVERGREEN PARK,31 Hougang Avenue 7  #17-08 ,100,Strata,20-OCT-2017,Apartment,99 Yrs From 01/10/1995,1999,Resale,19,53,538800,North East Region,Hougang,2017-10,1.3685311824899997,103.899103629,17.0,8.0,801939
6349,REGENT GROVE,52 Choa Chu Kang North 7  #13-23 ,108,Strata,20-OCT-2017,Condominium,99 Yrs From 17/05/1997,2000,Resale,23,68,689528,West Region,Choa Chu Kang,2017-10,1.3989173853999999,103.749086603,13.0,23.0,861202
6350,GILSTEAD TWO,2 Gilstead Road  #16-04 ,84,Strata,20-OCT-2017,Apartment,Freehold,2014,Resale,11,30,309061,Central Region,Novena,2017-10,1.31495773977,103.838459069,16.0,4.0,1631162
6351,PAVILION PARK,275 Pavilion Circle ,201,Land,20-OCT-2017,Terrace House,Freehold,2014,Resale,23,65,658279,West Region,Bukit Batok,2017-10,1.36859567745,103.751233791,,,3013647
6352,ORCHID PARK CONDOMINIUM,97 Yishun Street 81  #07-03 ,89,Strata,20-OCT-2017,Condominium,99 Yrs From 01/09/1991,1994,Resale,27,76,768453,North Region,Yishun,2017-10,1.41317398961,103.834911494,7.0,3.0,697287
6353,THE ESTA,33 Amber Gardens  #18-08 ,93,Strata,20-OCT-2017,Condominium,Freehold,2008,Resale,15,43,439968,Central Region,Marine Parade,2017-10,1.30196373177,103.900019499,18.0,8.0,1537576
6354,REFLECTIONS AT KEPPEL BAY,3 Keppel Bay View  #08-13 ,145,Strata,20-OCT-2017,Condominium,99 Yrs From 15/03/2006,2011,Resale,4,9,98403,Central Region,Bukit Merah,2017-10,1.26772954864,103.814112901,8.0,13.0,2453767
6355,CHILTERN PARK,133 Serangoon Avenue 3  #01-16 ,102,Strata,20-OCT-2017,Condominium,99 Yrs From 01/03/1991,1995,Resale,19,55,556113,North East Region,Serangoon,2017-10,1.3502921418599998,103.86394221100001,1.0,16.0,945071
6356,CITY SQUARE RESIDENCES,8 Kitchener Link  #14-14 ,113,Strata,20-OCT-2017,Condominium,Freehold,2009,Resale,8,20,207226,Central Region,Kallang,2017-10,1.31070313825,103.858027584,14.0,14.0,1624467
6357,KOVAN MELODY,15 Kovan Road  #05-04 ,114,Strata,20-OCT-2017,Condominium,99 Yrs From 20/01/2004,2006,Resale,19,54,548189,North East Region,Hougang,2017-10,1.35955672695,103.88302696,5.0,4.0,1233828
6358,D'LEEDON,3 Leedon Heights  #34-02 ,417,Strata,20-OCT-2017,Condominium,99 Yrs From 08/04/2010,2014,Resale,10,26,267951,Central Region,Bukit Timah,2017-10,1.3148988952399998,103.802265191,34.0,2.0,5556494
6359,LEICESTER SUITES,10 Leicester Road  #13-01 ,42,Strata,20-OCT-2017,Apartment,Freehold,2013,Resale,13,35,358844,Central Region,Toa Payoh,2017-10,1.33038624388,103.86715174,13.0,1.0,732644
6360,RICHMOND VILLE,2J Limau Garden ,207,Land,20-OCT-2017,Semi-Detached House,Freehold,1997,Resale,16,46,465919,East Region,Bedok,2017-10,1.32107847237,103.949932825,,,1955201
6361,PEOPLE'S GARDEN,16 Lorong 7 Realty Park ,175,Land,20-OCT-2017,Terrace House,999 Yrs From 01/09/1876,Unknown,Resale,19,53,536774,North East Region,Hougang,2017-10,1.3686672244999998,103.888070269,,,2197663
6362,BARTLEY RESIDENCES,5A Lorong How Sun  #17-33 ,188,Strata,20-OCT-2017,Apartment,99 Yrs From 29/06/2011,2015,Resale,19,53,536563,North East Region,Serangoon,2017-10,1.34264365439,103.881225084,17.0,33.0,1962004
6363,CANNE LODGE,75 Lorong 3 Geylang  #12-02 ,76,Strata,20-OCT-2017,Apartment,Freehold,1995,Resale,14,38,388869,Central Region,Kallang,2017-10,1.31429573728,103.873208141,12.0,2.0,912616
6364,VILLA MARINA,23 Jalan Sempadan  #01-05 ,140,Strata,20-OCT-2017,Condominium,99 Yrs From 13/02/1995,1999,Resale,15,45,457399,East Region,Bedok,2017-10,1.31043112473,103.928322217,1.0,5.0,1273017
6365,JOO CHIAT MANSIONS,156 Joo Chiat Terrace  #03-01 ,115,Strata,20-OCT-2017,Apartment,Freehold,1986,Resale,15,42,427303,Central Region,Geylang,2017-10,1.31433785146,103.90412794,3.0,1.0,1085946
6366,CARIBBEAN AT KEPPEL BAY,44 Keppel Bay Drive  #05-123 ,124,Strata,20-OCT-2017,Condominium,99 Yrs From 16/08/1999,2004,Resale,4,9,98657,Central Region,Bukit Merah,2017-10,1.2670805568999999,103.814773001,5.0,123.0,1961983
6367,THE CALROSE,513 Yio Chu Kang Road  #02-26 ,115,Strata,20-OCT-2017,Condominium,Freehold,2007,Resale,26,78,787067,North East Region,Ang Mo Kio,2017-10,1.38259992445,103.837346361,2.0,26.0,1327725
6368,FONTAINE PARRY,73 Poh Huat Road  #03-09 ,112,Strata,20-OCT-2017,Condominium,999 Yrs From 22/08/1883,2010,Resale,19,54,546779,North East Region,Hougang,2017-10,1.36579303989,103.88031736399999,3.0,9.0,1333324
6369,THE BAYSHORE,22 Bayshore Road  #07-06 ,86,Strata,20-OCT-2017,Condominium,99 Yrs From 31/05/1993,1996,Resale,16,46,469970,East Region,Bedok,2017-10,1.3123752313,103.93873109799999,7.0,6.0,783966
